output_index	case_index	diff_path	status	rc
0	0	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_0/0/ibex_decoder.sv.diff	SIM_FAIL	1
1	3	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_0/3/ibex_id_stage.sv.diff	SIM_FAIL	1
2	5	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_10/0/ibex_multdiv_fast.sv.diff	SIM_FAIL	1
3	6	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_10/1/ibex_load_store_unit.sv.diff	SIM_FAIL	1
4	8	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_11/0/ibex_wb_stage.sv.diff	SIM_FAIL	1
5	9	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_11/1/ibex_id_stage.sv.diff	SIM_FAIL	1
6	11	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_11/3/ibex_id_stage.sv.diff	SIM_FAIL	1
7	12	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_11/4/ibex_multdiv_fast.sv.diff	SIM_FAIL	1
8	19	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_1/2/ibex_if_stage.sv.diff	SIM_FAIL	1
9	25	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_1/3/ibex_multdiv_fast.sv.diff	SIM_FAIL	1
10	30	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_1/4/ibex_id_stage.sv.diff	SIM_FAIL	1
11	32	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_15/1/ibex_fetch_fifo.sv.diff	SIM_FAIL	1
12	40	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_17/2/ibex_core.sv.diff	SIM_FAIL	1
13	66	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_2/2/ibex_id_stage.sv.diff	SIM_FAIL	1
14	77	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_2/4/ibex_prefetch_buffer.sv.diff	SIM_FAIL	1
15	79	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_3/1/ibex_ex_block.sv.diff	SIM_FAIL	1
16	81	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_3/3/ibex_alu.sv.diff	SIM_FAIL	1
17	82	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_3/4/ibex_fetch_fifo.sv.diff	SIM_FAIL	1
18	83	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_4/0/ibex_decoder.sv.diff	SIM_FAIL	1
19	86	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_4/3/ibex_prefetch_buffer.sv.diff	SIM_FAIL	1
20	88	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_5/3/ibex_multdiv_fast.sv.diff	SIM_FAIL	1
21	91	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_6/1/ibex_id_stage.sv.diff	TIMEOUT	143
22	93	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_6/4/ibex_ex_block.sv.diff	SIM_FAIL	1
23	95	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_7/1/ibex_load_store_unit.sv.diff	SIM_FAIL	1
24	96	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_7/2/ibex_core.sv.diff	SIM_FAIL	1
25	97	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_8/0/ibex_ex_block.sv.diff	SIM_FAIL	1
26	99	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_8/3/ibex_multdiv_fast.sv.diff	SIM_FAIL	1
27	101	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_9/0/ibex_id_stage.sv.diff	SIM_FAIL	1
28	104	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_9/4/ibex_decoder.sv.diff	SIM_FAIL	1
29	108	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_0/15/ibex_load_store_unit.sv.diff	SIM_FAIL	1
30	110	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_0/17/ibex_prefetch_buffer.sv.diff	SIM_FAIL	1
31	112	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_0/19/ibex_ex_block.sv.diff	SIM_FAIL	1
32	114	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_0/3/ibex_alu.sv.diff	SIM_FAIL	1
33	115	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_0/4/ibex_if_stage.sv.diff	SIM_FAIL	1
34	117	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_0/6/ibex_multdiv_fast.sv.diff	TIMEOUT	143
35	118	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_0/7/ibex_decoder.sv.diff	SIM_FAIL	1
36	120	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_0/9/ibex_prefetch_buffer.sv.diff	SIM_FAIL	1
37	121	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_10/0/ibex_prefetch_buffer.sv.diff	SIM_FAIL	1
38	122	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_10/10/ibex_load_store_unit.sv.diff	TIMEOUT	143
39	123	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_10/11/ibex_multdiv_fast.sv.diff	SIM_FAIL	1
40	124	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_10/12/ibex_id_stage.sv.diff	SIM_FAIL	1
41	128	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_10/2/ibex_load_store_unit.sv.diff	SIM_FAIL	1
